217,Jerry Woods,526,Jerry Woods III,Jerry Woods III,396,160,100,60,0,,2,320
218,Aaron Clemons,524,,Aaron Clemons,3,100,100,0,,,3,200
219,Ben Carney,522,Benji Carney,Benji Carney,105,150,80,0,0,0,3,230
220,Jimmy Friedle,520,,Jimmy Friedle,401,125,80,60,60,0,1,325
221,Patrick Dillon,514,,Patrick Dillon,611,80,60,60,0,,2,200
222,Marco Martinez,510,,Marco Martinez,5464,280,0,,,,4,280
223,Unviabriel,509,Ryan Marshall,Ryan Marshall,656,60,60,60,,,2,180
224,Shen-Kai Chen,509,,Shen-Kai Chen,1851,100,,,,,4,100
225,Noah Smith,505,,Noah Smith,600,80,80,60,0,0,2,220
226,Max Simon,503,,Max Simon,548,80,,,,,4,80
227,77Ace777,500,Steven Stark,Steven Stark,2240,80,60,60,0,0,2,200
228,Daravone Souphommanychanh,496,,Daravone Souphommanychanh,1619,100,60,,,,3,160
229,Fiona Szymkiewicz,495,,Fiona Szymkiewicz,3755,100,,,,,4,100
230,Jérémy Côté,495,,Jérémy Côté,3831,125,100,,,,3,225
231,Christopher Baez,492,,Christopher Baez,196,80,60,60,60,,1,260
232,Riley Wilcox,484,,Riley Wilcox,2222,80,60,60,60,,1,260
233,Zeroblazevgc,482,Bukunmi Oyewole,Bukunmi Oyewole,143,80,60,60,0,0,2,200
234,Joseph Pulkowski,481,,Joseph Pulkowski,440,100,60,0,,,3,160
235,Alex Landry,480,,Alex Landry,1545,80,80,60,0,,2,220
236,Justin Morris,480,,Justin Morris,466,80,60,60,,,2,200
237,Akhil Goel,480,,Akhil Goel,1906,300,100,80,,,2,480
238,Sean Binek,479,,Sean Binek,685,160,80,,,,3,240
239,Alfredo Tamayo,477,,Alfredo Tamayo,50,100,80,60,60,0,1,300
240,Andrew Z,475,Andrew Zheng,Andrew Zheng,5253,350,125,,,,3,475
241,Atrix_Mj,474,MJ Rogers,MJ Rogers,2198,80,60,60,,,2,200
242,Chris Magnuson,470,,Chris Magnuson,3702,80,60,,,,3,140
243,Tyler Betcher,465,,Tyler Betcher,7214,100,,,,,4,100
244,Strifesada,465,Bo Quel,Bo Quel,3677,125,60,0,,,3,185
245,Joshua Dimond,465,,Joshua Dimond,4591,80,80,,,,3,160
246,Lepotatochip,455,Austin Le,Austin Le,91,100,80,0,0,0,3,180
